"ID","trial","first_attack","outcome","attack_position","attack_position2","species","age","treatment","place","illuminant","background","coord","experiment","video","date"
"1","1","Carapace",0,"back","back","bush_turkey","adult","A","UQ","shade","beige_cloth","-27.498074,153.014499","pilot","yes",2024-04-01
"2","1","Claw",1,"front","front","bush_turkey","adult","A","UQ","shade","beige_cloth","-27.498074,153.014499","pilot","yes",2024-04-01
"3","1","Claw",1,"back","back","bush_turkey","adult","A","UQ","shade","beige_cloth","-27.497869,153.011608","pilot","no",2024-04-01
"4","1","Claw",1,"front","front","bush_turkey","adult","A","UQ","shade","beige_cloth","-27.493470,153.006098","pilot","no",2024-04-01
"5","2","Claw",1,"lateral","lateral","ibis","adult","A","brisbane_city_botanic_gardens","shade","mud_cloth","-27.474314,153.029142","definitive","yes",2024-04-02
"6","3","Carapace",0,"back","back","bush_turkey","adult","A","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.475685,152.979682","definitive","no",2024-04-08
"7","4","Claw",1,"back","back","bush_turkey","adult","A","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.475685,152.979682","definitive","no",2024-04-08
"8","5","Claw",1,"lateral","lateral","bush_turkey","adult","A","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.475685,152.979682","definitive","no",2024-04-08
"9","5","Carapace",0,"front","front","bush_turkey","adult","A","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.475597,152.978732","definitive","no",2024-04-08
"10","5","Claw",1,"front","front","bush_turkey","adult","A","botanic_gardens_mt_coot_tha","shade","mud_cloth","-27.475384,152.978318","definitive","no",2024-04-08
"11","6","Claw",1,"lateral","lateral","bush_turkey","adult","A","south_banks","shade","mud_cloth","-27.471061095217745, 153.0127999012344","definitive","no",2024-04-15
"12","7","Claw",1,"front","front","bush_turkey","adult","A","south_banks","shade","mud_cloth","-27.475797,153.021809","definitive","no",2024-04-15
"13","8","Carapace",0,"back","back","bush_turkey","adult","A","captain_burke_park_south","shade","mud_cloth","-27.465852,153.034098","definitive","yes",2024-04-15
"14","8","Carapace",0,"back","back","bush_turkey","adult","A","captain_burke_park_south","shade","mud_cloth","-27.465852,153.034098","definitive","yes",2024-04-15
"15","9","Claw",1,"lateral","lateral","bush_turkey","adult","A","captain_burke_park_south","shade","mud_cloth","-27.465621,153.034201","definitive",NA,2024-04-16
"16","9","Carapace",0,"back","back","bush_turkey","adult","A","captain_burke_park_south","shade","mud_cloth","-27.465621,153.034201","definitive",NA,2024-04-16
"17","10","Claw",1,"back","back","bush_turkey","adult","A","captain_burke_park","shade","mud_cloth","-27.464701,153.035694","definitive",NA,2024-04-16
"18","11","Carapace",0,"back","back","bush_turkey","adult","A","captain_burke_park","shade","mud_cloth","-27.464701,153.035694","definitive",NA,2024-04-16
